TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-08-16 19:00:42.161,0.47331873,0.45324174,0.12818357,0.86712176,0.07682696,0.090723455,-0.053533945,0.27661508,0.36415455,0.2770631,0.030730423,0.49357748,0.2462579,-0.064415224,-0.31400427,0.4631263,-0.36266404,-0.49542797,-0.6387134,-0.26509276,812.3077,810.696,809.4872,811.50183,666.8498,0.0,0.0,0.007080078125,0.06365966796875,0.9903564453125,4.119720458984375,-3.12530517578125,3.043060302734375,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:42.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:43.171,0.27448615,0.1258434,-0.1526848,0.660536,0.31280547,0.09738309,-0.07742176,0.54740864,0.36052558,0.13041429,0.29718435,0.59017986,0.2914949,0.02563299,-0.2296157,0.4205434,-0.3655033,-0.60024405,-0.5457013,-0.26888877,809.89014,803.8461,803.0403,788.5348,758.315,0.0,0.0,-0.10882568359375,0.05987548828125,1.033203125,1.375732421875,-8.00018310546875,0.97198486328125,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:44.189,0.32936922,0.20470738,-0.07024543,0.5360625,0.5233975,-0.016582955,0.08998749,0.78198045,0.15015903,0.17064795,0.21101978,0.3554846,0.25125533,0.014002565,-0.21933334,0.455958,-0.43408474,-0.5425571,-0.615156,-0.1205967,794.57874,800.2198,806.26373,808.68134,749.45056,0.0,0.0,-0.02410888671875,0.05535888671875,0.98944091796875,2.953338623046875,-5.166473388671875,1.099090576171875,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:44.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:45.214,0.32936922,0.913307,0.82667905,0.5360625,0.5233975,0.4823792,0.3800948,0.78198045,0.15015903,0.5738615,0.6223577,0.3554846,0.25125533,-0.019557761,-0.030537054,0.455958,-0.43408474,-0.53215706,-0.46921256,-0.1205967,804.65204,793.7729,813.91943,823.5897,773.22345,0.0,0.0,1.220703125E-4,0.05572509765625,1.00384521484375,2.64678955078125,-4.32159423828125,2.355194091796875,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:46.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:46.239,0.32936922,1.1974424,1.0897719,0.5360625,0.5233975,0.875757,0.60309744,0.78198045,0.15015903,0.6438228,0.6993604,0.3554846,0.25125533,0.083952814,0.19881625,0.455958,-0.43408474,-0.31608632,-0.37666377,-0.1205967,806.6667,798.60803,801.4286,796.99634,740.58606,0.0,0.0,-0.0201416015625,0.05535888671875,0.9945068359375,2.788848876953125,-3.93280029296875,1.89910888671875,1,2.0,1.0,1.0,2.0,100.00
2021-08-16 19:00:46.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:47.254,0.32936922,1.2905424,1.0479195,0.5360625,0.5233975,1.002736,0.78184235,0.78198045,0.15015903,0.90467143,0.79623586,0.3554846,0.25125533,0.2388443,0.23018485,0.455958,-0.43408474,-0.34519115,-0.5922754,-0.1205967,680.14655,766.77655,824.3956,708.3516,808.2784,0.0,0.0,2.44140625E-4,0.044921875,0.99517822265625,2.758941650390625,-2.893524169921875,1.966400146484375,1,2.0,1.0,1.0,2.0,100.00
