TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-08-17 23:07:28.811,-1.2815771,0.8990412,1.1740355,0.49878907,-0.6860436,0.372344,0.5475522,0.657304,-0.4289988,0.3206563,0.519433,0.4430897,-0.30829948,-0.07194672,0.20309521,0.99477607,-0.22827865,-0.6365685,-0.15551363,0.31161943,804.2491,762.3443,806.6667,820.3663,846.1539,0.0,0.0,-0.393798828125,0.0654296875,0.916259765625,3.03558349609375,-0.82244873046875,0.2093505859375,1,1.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:29.835,-1.3062345,0.8263297,1.1311783,0.49878907,-0.98065084,0.40784734,0.48043486,0.657304,-0.47018212,0.21992321,0.5669199,0.4430897,-0.39355826,-0.035360903,0.33879432,0.99477607,-0.35502782,-0.40304756,-0.049088094,0.31161943,803.0403,797.8022,793.7729,755.4945,807.8755,0.0,0.0,-0.3846435546875,0.05633544921875,0.923828125,3.289794921875,-3.132781982421875,0.46356201171875,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:30.837,-1.1774646,0.8110446,0.9019601,0.49878907,-1.2816367,0.47521237,0.58001393,0.657304,-0.7884999,0.37284285,0.6980497,0.4430897,-0.61973673,0.03616936,0.3039468,0.99477607,-0.7567105,-0.33315033,-0.037993535,0.31161943,807.8755,774.83514,812.3077,900.14655,827619,0.0,0.0,-0.37847900390625,0.05267333984375,0.91888427734375,3.386993408203125,-3.416900634765625,2.5421142578125,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:31.840,-1.2392461,0.8234494,0.93316454,0.49878907,-1.2387451,0.3416389,0.67287546,0.657304,-0.7881401,0.34834805,0.6118764,0.4430897,-0.67001134,0.16236964,0.17903626,0.99477607,-0.7752431,-0.43647784,-0.16105868,0.31161943,800.2198,736.1539,806.26373,954.5421,955.7509,0.0,0.0,-0.37298583984375,0.05181884765625,0.9136962890625,2.878570556640625,-4.246826171875,1.435546875,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:32.874,-1.3181345,0.8021135,0.7865888,0.49878907,-1.0874231,0.22292614,0.17876932,0.657304,-0.76859504,0.13956937,0.25010586,0.4430897,-0.7002767,0.20772742,0.09978296,0.99477607,-0.74569243,-0.64724547,-0.0739925,0.31161943,803.8461,823.1868,850989,760.7326,679.34064,0.0,0.0,-0.3695068359375,0.05230712890625,0.9219970703125,2.818756103515625,-3.895416259765625,1.07666015625,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:33.883,-1.3453351,0.83991563,0.42640474,0.596218,-1.3978567,-0.09487791,-0.25720084,0.38132802,-0.70395476,0.14726722,-0.15691915,0.79128206,-0.83156407,-0.08898715,0.2740402,0.4742871,-0.8346555,-0.31434143,0.045976013,0.054256745,801.8315,802.6374,818.3516,897326,938022,0.0,0.0,-0.36651611328125,0.05438232421875,0.91845703125,2.213134765625,-3.058013916015625,1.517791748046875,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:34.901,-1.4838982,0.46314457,0.44685546,1.354171,-1.4470687,-0.005732501,-0.0034446632,1.0608609,-0.8163926,0.037958656,0.3339715,1.5221684,-0.6315615,-0.059737064,0.18473075,0.6358874,-0.8563949,-0.3243544,-0.0076345527,0.14361669,802.6374,783.69965,811.50183,591.0989,496.00732,0.0,0.0,-0.36968994140625,0.0548095703125,0.92242431640625,2.370147705078125,-3.132781982421875,1.951446533203125,1,1.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:35.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-17 23:07:35.915,-1.0296608,0.55892724,0.7506998,1.6756282,-1.0246944,-0.21678081,0.33801663,1.3763006,-0.6175547,0.10398546,0.36744645,1.5221684,-0.23349053,0.05880775,0.2836871,0.7141404,0.2290177,-0.31084362,-0.04300132,0.19518648,888.86444,793.7729,827.2161,662.4176,720.0366,0.0,0.0,-0.38018798828125,0.041015625,0.91705322265625,-2.474822998046875,0.34393310546875,-0.814971923828125,1,1.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:36.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-17 23:07:36.935,-1.0445942,0.87905854,1.0521488,1.6756282,-0.7995551,0.28218755,0.47293326,1.3763006,-0.3272201,0.2592187,0.24545765,1.5221684,-0.2578846,0.40566108,0.47287747,0.7141404,0.28245676,0.07301982,0.023206668,0.19518648,883.22345,763.1502,814.7253,1080.2565,1027.4725,0.0,0.0,-0.3809814453125,0.0325927734375,0.9244384765625,-1.00189208984375,-2.91595458984375,3.9178466796875,1,1.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:37.946,-0.9909852,0.94498277,1.1453452,1.6756282,-0.67807204,0.16229987,0.5448695,1.3763006,-0.3465383,0.23530129,0.10962602,1.5221684,-0.5852839,0.57752067,0.5641287,0.7141404,-0.26729748,0.2171284,0.06472763,0.19518648,890.07324,787.72894,815.9341,815.9341,717.2161,0.0,0.0,-0.34100341796875,0.03936767578125,0.83453369140625,9.428253173828125,-8.47869873046875,-2.58697509765625,1,1.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:38.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-17 23:07:38.963,-0.6778174,1.0696701,1.2666339,1.6756282,-0.9637533,0.46520105,0.7325565,1.3763006,-0.47242886,0.18098499,1.0768747,1.5221684,-0.44991377,0.012626959,0.20310277,0.7141404,-0.28600052,-0.28920633,-0.028552126,0.19518648,802.6374,776.8498,830.4396,912.23444,949304,0.0,0.0,-0.39434814453125,0.02911376953125,0.9127197265625,2.863616943359375,-3.15521240234375,1.338348388671875,1,1.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:39.974,-0.72665286,0.760764,0.77047414,1.6756282,-1.1461596,0.3623058,0.5458371,1.3763006,-0.537946,0.1803364,0.6377315,1.5221684,-0.4759046,-0.012200881,0.3015805,0.7141404,-0.5630547,-0.35608143,-0.011995497,0.19518648,799.81683,788.5348,807.47253,849.3773,962.6007,0.0,0.0,-0.39532470703125,0.02862548828125,0.919677734375,2.071075439453125,-3.81317138671875,2.930908203125,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:40.993,-1.1839818,0.63855505,0.6648615,0.7086019,-1.1621082,0.2328227,0.42166993,0.51073456,-0.6418539,0.12209747,0.621094,0.7386891,-0.55321795,-0.14329433,0.15019108,0.2948877,-0.5381007,-0.38738078,-0.1132038,0.14321278,805.05493,788.1319,812.71063,814.7253,689.81683,0.0,0.0,-0.3897705078125,0.0257568359375,0.91265869140625,2.714080810546875,-1.80938720703125,1.136474609375,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:42.026,-1.5144156,0.75053805,0.6756521,0.22191206,-1.1864451,0.22348611,0.25955835,0.29857892,-0.62117493,0.22399372,0.14506932,0.5190953,-0.49153852,-0.20490035,-0.07235847,0.22895952,-0.65884554,-0.48227683,-0.049226623,0.013532538,803.44324,718022,752.27106,917.8755,828.8278,0.0,0.0,-0.3927001953125,0.0338134765625,0.91839599609375,2.67669677734375,-4.5159912109375,2.22808837890625,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:43.036,-1.2139896,1.173731,1.0399258,0.22191206,-1.1747468,0.3634044,-0.039107274,0.29857892,-0.61751205,0.22399372,0.1039088,0.5190953,-0.64436555,-0.075012766,-0.11910406,0.22895952,-0.81999856,-0.3829368,-0.17813893,0.013532538,803.44324,820.3663,856.63007,784.5055,796.5934,0.0,0.0,-0.382568359375,0.03216552734375,0.9295654296875,3.09539794921875,-4.478607177734375,2.564544677734375,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:44.050,-1.4012996,0.55220896,0.38917235,0.22191206,-1.1103604,0.307235,-0.044170775,0.29857892,-0.6259137,0.015181832,0.559373,0.5190953,-0.8411891,0.0063962215,0.24002293,0.22895952,-0.9477314,-0.34571204,-0.012078768,0.013532538,802.23444,812.71063,836.4835,751.8681,842.9304,0.0,0.0,-0.410400390625,0.0281982421875,0.92047119140625,3.581390380859375,-4.508514404296875,2.43743896484375,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:45.057,-1.4532989,0.8673309,0.75665104,0.22191206,-1.1302258,0.7473378,0.32038543,0.29857892,-0.60130924,0.43105575,0.48453075,0.5190953,-0.7529778,0.058367092,0.31037462,0.22895952,-0.79861224,-0.08971365,-0.083357185,0.013532538,802.23444,715.2015,767.5824,1024249,710.3663,0.0,0.0,-0.40692138671875,0.01513671875,0.9207763671875,2.175750732421875,-3.835601806640625,3.072967529296875,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:46.120,-1.2890329,1.1739691,1.0529454,0.22191206,-1.1807386,1.0204744,0.5862565,0.29857892,-0.6840637,0.40723518,0.10625458,0.5190953,-0.5619316,0.07973461,0.34406203,0.22895952,-0.70186794,0.03140358,-0.06900948,0.013532538,803.44324,820.7692,864.68866,749.0476,657.1795,0.0,0.0,-0.40533447265625,0.01055908203125,0.908447265625,2.61688232421875,-3.51409912109375,1.79443359375,1,4.0,1.0,1.0,1.0,75.00,
2021-08-17 23:07:47.136,-1.4206154,0.557753,1.2146722,0.22191206,-1.2646614,0.03517372,0.14896303,0.29857892,-0.9927981,-0.066914946,0.32610098,0.5190953,-0.6407844,0.0593072,0.37890077,0.22895952,-0.9329675,-0.516261,-0.1957916,0.013532538,804.65204,908.60803,826.4103,781685,754.2857,0.0,0.0,-0.4024658203125,0.00994873046875,0.91058349609375,2.9010009765625,-3.626251220703125,0.58319091796875,1,4.0,1.0,1.0,1.0,75.00,
